Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Win conditions;Attendance;Half-time Home Goals;Half-time Away Goals;Referee;Assistant 1;Assistant 2;RoundID;MatchID;Home Team Initials;Away Team Initials;Selecao analisada;Gols Pro torneio;Gols Contra torneio
2014.0;12 Jun 2014 - 17:00 ;Group A;Arena de Sao Paulo;Sao Paulo ;Brazil;3.0;1.0;Croatia; ;62103.0;1.0;1.0;NISHIMURA Yuichi (JPN);SAGARA Toru (JPN);NAGI Toshiyuki (JPN);255931.0;300186456.0;BRA;CRO;Brazil;11.0;14.0
2014.0;13 Jun 2014 - 13:00 ;Group A;Estadio das Dunas;Natal ;Mexico;1.0;0.0;Cameroon; ;39216.0;0.0;0.0;ROLDAN Wilmar (COL);CLAVIJO Humberto (COL);DIAZ Eduardo (COL);255931.0;300186492.0;MEX;CMR;Mexico;5.0;3.0
2014.0;13 Jun 2014 - 16:00 ;Group B;Arena Fonte Nova;Salvador ;Spain;1.0;5.0;Netherlands; ;48173.0;1.0;1.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255931.0;300186510.0;ESP;NED;Spain;4.0;7.0
2014.0;13 Jun 2014 - 18:00 ;Group B;Arena Pantanal;Cuiaba ;Chile;3.0;1.0;Australia; ;40275.0;2.0;1.0;Noumandiez DOUE (CIV);YEO Songuifolo (CIV);BIRUMUSHAHU Jean Claude (BDI);255931.0;300186473.0;CHI;AUS;Chile;6.0;4.0
2014.0;14 Jun 2014 - 13:00 ;Group C;Estadio Mineirao;Belo Horizonte ;Colombia;3.0;0.0;Greece; ;57174.0;1.0;0.0;GEIGER Mark (USA);HURD Sean (USA);FLETCHER Joe (CAN);255931.0;300186471.0;COL;GRE;Colombia;12.0;4.0
2014.0;14 Jun 2014 - 16:00 ;Group D;Estadio Castelao;Fortaleza ;Uruguay;1.0;3.0;Costa Rica; ;58679.0;1.0;0.0;BRYCH Felix (GER);BORSCH Mark (GER);LUPP Stefan (GER);255931.0;300186489.0;URU;CRC;Uruguay;4.0;6.0
2014.0;14 Jun 2014 - 18:00 ;Group D;Arena Amazonia;Manaus ;England;1.0;2.0;Italy; ;39800.0;1.0;1.0;Bj�rn KUIPERS (NED);Sander VAN ROEKEL (NED);Erwin ZEINSTRA (NED);255931.0;300186513.0;ENG;ITA;England;2.0;4.0
2014.0;14 Jun 2014 - 22:00 ;Group C;Arena Pernambuco;Recife ;C�te d'Ivoire;2.0;1.0;Japan; ;40267.0;0.0;1.0;OSSES Enrique (CHI);ASTROZA Carlos (CHI);ROMAN Sergio (CHI);255931.0;300186507.0;CIV;JPN;C�te d'Ivoire;4.0;5.0
2014.0;15 Jun 2014 - 13:00 ;Group E;Estadio Nacional;Brasilia ;Switzerland;2.0;1.0;Ecuador; ;68351.0;0.0;1.0;Ravshan IRMATOV (UZB);RASULOV Abduxamidullo (UZB);KOCHKAROV Bakhadyr (KGZ);255931.0;300186494.0;SUI;ECU;Switzerland;7.0;7.0
2014.0;15 Jun 2014 - 16:00 ;Group E;Estadio Beira-Rio;Porto Alegre ;France;3.0;0.0;Honduras; ;43012.0;1.0;0.0;RICCI Sandro (BRA);DE CARVALHO Emerson (BRA);VAN GASSE Marcelo (BRA);255931.0;300186496.0;FRA;HON;France;10.0;3.0
2014.0;15 Jun 2014 - 19:00 ;Group F;Estadio do Maracana;Rio De Janeiro ;Argentina;2.0;1.0;"rn"">Bosnia and Herzegovina"; ;74738.0;1.0;0.0;AGUILAR Joel (SLV);TORRES William (SLV);ZUMBA Juan (SLV);255931.0;300186477.0;ARG;BIH;Argentina;8.0;4.0
2014.0;16 Jun 2014 - 13:00 ;Group G;Arena Fonte Nova;Salvador ;Germany;4.0;0.0;Portugal; ;51081.0;3.0;0.0;MAZIC Milorad (SRB);RISTIC Milovan (SRB);DJURDJEVIC Dalibor (SRB);255931.0;300186475.0;GER;POR;Germany;16.0;3.0
2014.0;16 Jun 2014 - 16:00 ;Group F;Arena da Baixada;Curitiba ;IR Iran;0.0;0.0;Nigeria; ;39081.0;0.0;0.0;VERA Carlos (ECU);LESCANO Christian (ECU);ROMERO Byron (ECU);255931.0;300186505.0;IRN;NGA;IR Iran;1.0;4.0
2014.0;16 Jun 2014 - 19:00 ;Group G;Estadio das Dunas;Natal ;Ghana;1.0;2.0;USA; ;39760.0;0.0;1.0;ERIKSSON Jonas (SWE);KLASENIUS Mathias (SWE);WARNMARK Daniel (SWE);255931.0;300186512.0;GHA;USA;Ghana;4.0;6.0
2014.0;17 Jun 2014 - 13:00 ;Group H;Estadio Mineirao;Belo Horizonte ;Belgium;2.0;1.0;Algeria; ;56800.0;0.0;1.0;RODRIGUEZ Marco (MEX);TORRENTERA Marvin (MEX);QUINTERO Marcos (MEX);255931.0;300186479.0;BEL;ALG;Belgium;6.0;3.0
2014.0;17 Jun 2014 - 16:00 ;Group A;Estadio Castelao;Fortaleza ;Brazil;0.0;0.0;Mexico; ;60342.0;0.0;0.0;C�neyt �AKIR (TUR);DURAN Bahattin (TUR);ONGUN Tarik (TUR);255931.0;300186509.0;BRA;MEX;Brazil;11.0;14.0
2014.0;17 Jun 2014 - 18:00 ;Group H;Arena Pantanal;Cuiaba ;Russia;1.0;1.0;Korea Republic; ;37603.0;0.0;0.0;PITANA Nestor (ARG);MAIDANA Hernan (ARG);BELATTI Juan Pablo (ARG);255931.0;300186499.0;RUS;KOR;Russia;2.0;3.0
2014.0;18 Jun 2014 - 13:00 ;Group B;Estadio Beira-Rio;Porto Alegre ;Australia;2.0;3.0;Netherlands; ;42877.0;1.0;1.0;HAIMOUDI Djamel (ALG);ACHIK Redouane (MAR);ETCHIALI Abdelhak (ALG);255931.0;300186478.0;AUS;NED;Australia;3.0;9.0
